,Name,Code,Year,Current Gross Import,Sector
0,"Textiles, garments, footwear and furniture",0 HS1,1995,3.71,Textiles
1,"Textiles, garments, footwear and furniture",0 HS1,1996,3.91,Textiles
2,"Textiles, garments, footwear and furniture",0 HS1,1997,4.13,Textiles
3,"Textiles, garments, footwear and furniture",0 HS1,1998,3.93,Textiles
4,"Textiles, garments, footwear and furniture",0 HS1,1999,4.22,Textiles
5,"Textiles, garments, footwear and furniture",0 HS1,2000,4.29,Textiles
6,"Textiles, garments, footwear and furniture",0 HS1,2001,3.78,Textiles
7,"Textiles, garments, footwear and furniture",0 HS1,2002,4.35,Textiles
8,"Textiles, garments, footwear and furniture",0 HS1,2003,5.07,Textiles
9,"Textiles, garments, footwear and furniture",0 HS1,2004,6.13,Textiles
10,"Textiles, garments, footwear and furniture",0 HS1,2005,6.64,Textiles
11,"Textiles, garments, footwear and furniture",0 HS1,2006,7.10,Textiles
12,"Textiles, garments, footwear and furniture",0 HS1,2007,8.17,Textiles
13,"Textiles, garments, footwear and furniture",0 HS1,2008,9.33,Textiles
14,"Textiles, garments, footwear and furniture",0 HS1,2009,8.40,Textiles
15,"Textiles, garments, footwear and furniture",0 HS1,2010,10.0,Textiles
16,"Textiles, garments, footwear and furniture",0 HS1,2011,12.2,Textiles
17,"Textiles, garments, footwear and furniture",0 HS1,2012,13.6,Textiles
18,"Textiles, garments, footwear and furniture",0 HS1,2013,14.1,Textiles
19,"Textiles, garments, footwear and furniture",0 HS1,2014,14.4,Textiles
20,"Textiles, garments, footwear and furniture",0 HS1,2015,14.5,Textiles
21,"Textiles, garments, footwear and furniture",0 HS1,2016,13.6,Textiles
22,"Textiles, garments, footwear and furniture",0 HS1,2017,14.3,Textiles
23,"Textiles, garments, footwear and furniture",0 HS1,2018,15.4,Textiles
24,"Textiles, garments, footwear and furniture",0 HS1,2019,15.1,Textiles
25,"Vegetables, animals, wood and paper",1 HS1,1995,5.91,Agriculture
26,"Vegetables, animals, wood and paper",1 HS1,1996,5.72,Agriculture
27,"Vegetables, animals, wood and paper",1 HS1,1997,5.93,Agriculture
28,"Vegetables, animals, wood and paper",1 HS1,1998,5.61,Agriculture
29,"Vegetables, animals, wood and paper",1 HS1,1999,6.06,Agriculture
30,"Vegetables, animals, wood and paper",1 HS1,2000,6.30,Agriculture
31,"Vegetables, animals, wood and paper",1 HS1,2001,5.64,Agriculture
32,"Vegetables, animals, wood and paper",1 HS1,2002,6.43,Agriculture
33,"Vegetables, animals, wood and paper",1 HS1,2003,7.75,Agriculture
34,"Vegetables, animals, wood and paper",1 HS1,2004,8.97,Agriculture
35,"Vegetables, animals, wood and paper",1 HS1,2005,9.51,Agriculture
36,"Vegetables, animals, wood and paper",1 HS1,2006,10.3,Agriculture
37,"Vegetables, animals, wood and paper",1 HS1,2007,12.2,Agriculture
38,"Vegetables, animals, wood and paper",1 HS1,2008,14.2,Agriculture
39,"Vegetables, animals, wood and paper",1 HS1,2009,12.7,Agriculture
40,"Vegetables, animals, wood and paper",1 HS1,2010,15.5,Agriculture
41,"Vegetables, animals, wood and paper",1 HS1,2011,18.4,Agriculture
42,"Vegetables, animals, wood and paper",1 HS1,2012,18.9,Agriculture
43,"Vegetables, animals, wood and paper",1 HS1,2013,19.4,Agriculture
44,"Vegetables, animals, wood and paper",1 HS1,2014,20.5,Agriculture
45,"Vegetables, animals, wood and paper",1 HS1,2015,18.7,Agriculture
46,"Vegetables, animals, wood and paper",1 HS1,2016,18.6,Agriculture
47,"Vegetables, animals, wood and paper",1 HS1,2017,19.9,Agriculture
48,"Vegetables, animals, wood and paper",1 HS1,2018,20.8,Agriculture
49,"Vegetables, animals, wood and paper",1 HS1,2019,20.3,Agriculture
50,"Stone, glass and ceramics",2 HS1,1995,1.55,Stone
51,"Stone, glass and ceramics",2 HS1,1996,1.66,Stone
52,"Stone, glass and ceramics",2 HS1,1997,1.75,Stone
53,"Stone, glass and ceramics",2 HS1,1998,3.37,Stone
54,"Stone, glass and ceramics",2 HS1,1999,2.46,Stone
55,"Stone, glass and ceramics",2 HS1,2000,2.11,Stone
